ingredient_name,price_date,price_per_kg_rwf,market_location
Sodium chloride (salt),2026-01-15,593.31,Rwanda
Sodium chloride (salt),2026-02-15,605.83,Rwanda
Sodium chloride (salt),2026-03-15,606.98,Rwanda
Sodium chloride (salt),2026-04-15,605.31,Rwanda
Sodium chloride (salt),2026-05-15,606.67,Rwanda
Whole maize grain,2024-01-15,443.13,Rwanda
Whole maize grain,2024-02-15,339.78,Rwanda
Whole maize grain,2024-03-15,307.23,Rwanda
Whole maize grain,2024-04-15,328.03,Rwanda
Whole maize grain,2024-05-15,319.92,Rwanda
Whole maize grain,2024-06-15,322.49,Rwanda
Whole maize grain,2024-07-15,357.82,Rwanda
Whole maize grain,2024-08-15,380.62,Rwanda
Whole maize grain,2024-09-15,419.62,Rwanda
Whole maize grain,2024-10-15,482.65,Rwanda
Whole maize grain,2024-11-15,545.47,Rwanda
Whole maize grain,2024-12-15,581.71,Rwanda
Whole maize grain,2025-01-15,582.0,Rwanda
Whole maize grain,2025-02-15,488.84,Rwanda
Whole maize grain,2025-03-15,442.38,Rwanda
Whole maize grain,2025-04-15,477.82,Rwanda
Whole maize grain,2025-05-15,495.56,Rwanda
Whole maize grain,2025-06-15,528.44,Rwanda
Whole maize grain,2025-07-15,531.47,Rwanda
Whole maize grain,2025-08-15,570.94,Rwanda
Whole maize grain,2025-09-15,598.95,Rwanda
Whole maize grain,2025-10-15,639.91,Rwanda
Whole maize grain,2025-11-15,633.23,Rwanda
Whole maize grain,2025-12-15,669.65,Rwanda
Whole maize grain,2026-01-15,630.92,Rwanda
Whole maize grain,2026-02-15,603.21,Rwanda
Whole maize grain,2026-03-15,547.38,Rwanda
Whole maize grain,2026-04-15,563.59,Rwanda
Whole maize grain,2026-05-15,602.78,Rwanda
